"","X","date","latitude","longitude","name","life.stage","occurrence","count","SL.length.mm","distance.surveyed.m","main.method","total.shocking.time.min","salinity.ppt","pH","DO.mg.L","turbidity","water.temp.C","substrate","mud.silt","sand","gravel","cobble","boulder","width.m","depth.cm","gradient","habitat","edgewater","riffle","run","pool","glide","flatwater","mean.monthly.flow.cfs","flow.cfs","source","FL.length.mm","carapace.length.mm","weight.g"
"1",1,"1983-11-01",34.576542,-118.985177,"rainbow trout",NA,1,6,NA,NA,"electroshocking",NA,NA,NA,NA,NA,10.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"2",2,"1983-11-01",34.576542,-118.985177,"arroyo chub",NA,1,117,NA,NA,"electroshocking",NA,NA,NA,NA,NA,10.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"3",3,"1983-11-01",34.576542,-118.985177,"stickleback",NA,1,55,NA,NA,"electroshocking",NA,NA,NA,NA,NA,10.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"4",4,"1983-11-01",34.576542,-118.985177,"green sunfish",NA,0,0,NA,NA,"electroshocking",NA,NA,NA,NA,NA,10.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"5",5,"1983-11-01",34.576542,-118.985177,"pacific lamprey",NA,0,0,NA,NA,"electroshocking",NA,NA,NA,NA,NA,10.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"6",6,"1984-05-16",34.576542,-118.985177,"rainbow trout",NA,1,68,NA,NA,"electroshocking",NA,NA,NA,NA,NA,19.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"7",7,"1984-05-16",34.576542,-118.985177,"arroyo chub",NA,1,164,NA,NA,"electroshocking",NA,NA,NA,NA,NA,19.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"8",8,"1984-05-16",34.576542,-118.985177,"stickleback",NA,1,22,NA,NA,"electroshocking",NA,NA,NA,NA,NA,19.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"9",9,"1984-05-16",34.576542,-118.985177,"green sunfish",NA,1,8,NA,NA,"electroshocking",NA,NA,NA,NA,NA,19.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"10",10,"1984-05-16",34.576542,-118.985177,"pacific lamprey",NA,0,0,NA,NA,"electroshocking",NA,NA,NA,NA,NA,19.1666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"11",11,"1985-05-22",34.576542,-118.985177,"rainbow trout",NA,1,18,NA,NA,"electroshocking",NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"12",12,"1985-05-22",34.576542,-118.985177,"arroyo chub",NA,1,7,NA,NA,"electroshocking",NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"13",13,"1985-05-22",34.576542,-118.985177,"stickleback",NA,1,25,NA,NA,"electroshocking",NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"14",14,"1985-05-22",34.576542,-118.985177,"green sunfish",NA,1,118,NA,NA,"electroshocking",NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"15",15,"1985-05-22",34.576542,-118.985177,"pacific lamprey",NA,0,0,NA,NA,"electroshocking",NA,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"16",16,"1983-10-22",34.558498,-119.104631,"rainbow trout",NA,1,62,NA,NA,"electroshocking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"17",17,"1983-10-22",34.558498,-119.104631,"arroyo chub",NA,1,103,NA,NA,"electroshocking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"18",18,"1983-10-22",34.558498,-119.104631,"stickleback",NA,1,33,NA,NA,"electroshocking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"19",19,"1983-10-22",34.558498,-119.104631,"green sunfish",NA,1,3,NA,NA,"electroshocking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"20",20,"1983-10-22",34.558498,-119.104631,"pacific lamprey",NA,0,0,NA,NA,"electroshocking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"21",21,"1984-05-12",34.558498,-119.104631,"rainbow trout",NA,1,91,NA,NA,"electroshocking",NA,NA,NA,NA,NA,18.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"22",22,"1984-05-12",34.558498,-119.104631,"arroyo chub",NA,1,110,NA,NA,"electroshocking",NA,NA,NA,NA,NA,18.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"23",23,"1984-05-12",34.558498,-119.104631,"stickleback",NA,1,23,NA,NA,"electroshocking",NA,NA,NA,NA,NA,18.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"24",24,"1984-05-12",34.558498,-119.104631,"green sunfish",NA,0,0,NA,NA,"electroshocking",NA,NA,NA,NA,NA,18.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"25",25,"1984-05-12",34.558498,-119.104631,"pacific lamprey",NA,1,16,NA,NA,"electroshocking",NA,NA,NA,NA,NA,18.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"26",26,"1985-05-18",34.558498,-119.104631,"rainbow trout",NA,1,49,NA,NA,"electroshocking",NA,NA,NA,NA,NA,17.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
